"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"LAWS","Lawson Products, Inc.","25.05","222652791.75","n/a","United States","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/laws",
"LAYN","Layne Christensen Company","14.78","294373895.54","n/a","United States","1992","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/layn",
"LGI","Lazard Global Total Return and Income Fund","18.07","173566632.59","n/a","United States","2004","n/a","n/a","https://www.nasdaq.com/symbol/lgi",
"LOR","Lazard World Dividend & Income Fund, Inc.","11.4","78434086.2","n/a","United States","2005","n/a","n/a","https://www.nasdaq.com/symbol/lor",
"LZB","La-Z-Boy Incorporated","29.2","1372212068.8","n/a","United States","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/lzb",
"LAZY","Lazydays Holdings, Inc.","10.2359","0","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/lazy",
"LCII","LCI Industries ","94.5","2382484104","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lcii",
"LCNB","LCNB Corporation","18.8","188492616.4","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lcnb",
"LBIX","Leading Brands Inc","1.191","3337672.692","n/a","Canada","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/lbix",
"LFGR","Leaf Group Ltd.","7.45","182241639.25","n/a","United States","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/lfgr",
"LPTX","LEAP THERAPEUTICS, INC.","9.74","141236632.94","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/lptx",
"LEA","Lear Corporation","193.7","12837354766.6","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lea",
"LEE","Lee Enterprises, Incorporated","2.2","125580527.6","n/a","United States","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/lee",
"LGC","Legacy Acquisition Corp.","9.6","288000000","n/a","United States","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lgc",
"LGC.U","Legacy Acquisition Corp.","n/a","0","n/a","United States","2017","n/a","n/a","https://www.nasdaq.com/symbol/lgc.u",
"LGC.WS","Legacy Acquisition Corp.","n/a","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lgc.ws",
"LGCY","Legacy Reserves LP","5.26","404462697.74","n/a","United States","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/lgcy",
"LGCYO","Legacy Reserves LP","9","63000000","n/a","United States","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/lgcyo",
"LGCYP","Legacy Reserves LP","10.25","20500000","n/a","United States","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/lgcyp",
"LTXB","LegacyTexas Financial Group, Inc.","42.57","2051857440.27","n/a","United States","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ltxb",
"DDBI","Legg Mason Developed EX-US Diversified Core ETF","29.73","5946000","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ddbi",
"EDBI","Legg Mason Emerging Markets Diversified Core ETF","32.7076","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/edbi",
"INFR","Legg Mason Global Infrastructure ETF","27.6","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/infr",
"LVHD","Legg Mason Low Volatility High Dividend ETF","29.46","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lvhd",
"SQLV","Legg Mason Small-Cap Quality Value ETF","27.865","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sqlv",
"UDBI","Legg Mason US Diversified Core ETF","30.86","3209440","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/udbi",
"LM","Legg Mason, Inc.","37.76","3192241274.88","n/a","United States","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/lm",
"LMHA","Legg Mason, Inc.","26.11","0","n/a","United States","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmha",
"LMHB","Legg Mason, Inc.","24.13","0","n/a","United States","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/lmhb",
"LEG","Leggett & Platt, Incorporated","44.33","5838100614.06","n/a","United States","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/leg",
"JBK","Lehman ABS Corporation","25.3764","0","n/a","United States","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/jbk",
"KTH","Lehman ABS Corporation","33.58","0","n/a","United States","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/kth",
"KTN","Lehman ABS Corporation","30.9","0","n/a","United States","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktn",
