"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"CLB","Core Laboratories N.V.","116.75","5158391635.5","n/a","Netherlands","1995","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/clb",
"CMRE","Costamare Inc.","6.61","721777799.86","n/a","Greece","2010","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cmre",
"CMRE^B","Costamare Inc.","23.79","0","n/a","Greece","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cmre^b",
"CMRE^C","Costamare Inc.","24.5","0","n/a","Greece","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cmre^c",
"CMRE^D","Costamare Inc.","25.29","0","n/a","Greece","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cmre^d",
"CMRE^E","Costamare Inc.","24.93","0","n/a","Greece","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cmre^e",
"DGLD","Credit Suisse AG","39.7","16039197","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/dgld",
"DSLV","Credit Suisse AG","24.24","23365808.64","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/dslv",
"GLDI","Credit Suisse AG","9.2163","124654162.4526","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/gldi",
"SLVO","Credit Suisse AG","7.7522","6589370","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/slvo",
"TVIX","Credit Suisse AG","8.67","409081751.31","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/tvix",
"TVIZ","Credit Suisse AG","12.77","6485857.46","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/tviz",
"UGLD","Credit Suisse AG","11.84","123320917.12","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ugld",
"USLV","Credit Suisse AG","10.41","279950539.83","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/uslv",
"USOI","Credit Suisse AG","28.8","0","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/usoi",
"VIIX","Credit Suisse AG","19.14","8310454.02","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/viix",
"VIIZ","Credit Suisse AG","7.66","880900","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/viiz",
"ZIV","Credit Suisse AG","64.36","109926880","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ziv",
"CS","Credit Suisse Group","16.37","41747658863.98","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/cs",
"CRH","CRH PLC","33.79","28347101630.13","n/a","Ireland","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/crh",
"CRSP","CRISPR Therapeutics AG","51.77","2431947520","n/a","Switzerland","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/crsp",
"CRTO","Criteo S.A.","27.52","1820070122.88","n/a","France","2013","Technology","Advertising","https://www.nasdaq.com/symbol/crto",
"DAC","Danaos Corporation","1.15","126269254.8","n/a","Greece","2006","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dac",
"DBVT","DBV Technologies S.A.","23.44","1392825802.24","n/a","France","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/dbvt",
"DB","Deutsche Bank AG","14.38","29714861349.58","n/a","Germany","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/db",
"DXB","Deutsche Bank AG","25.55","0","n/a","Germany","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/dxb",
"DHT","DHT Holdings, Inc.","3.73","530955421.54","n/a","Jersey","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dht",
"DEO","Diageo plc","142","87340371112","n/a","United Kingdom","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/deo",
"DCIX","Diana Containerships Inc.","1.57","11073382.7","n/a","Greece","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","3.54","382075800.18","n/a","Greece","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","24.47","0","n/a","Greece","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dsx^b",
"DSXN","Diana Shipping inc.","25.42","0","n/a","Greece","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dsxn",
"DRYS","DryShips Inc.","3.74","379453903.62","n/a","Greece","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/drys",
"DLNG","Dynagas LNG Partners LP","10.46","371225400","n/a","Greece","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/dlng",
"DLNG^A","Dynagas LNG Partners LP","26.3","0","n/a","Greece","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlng^a",
"ETN","Eaton Corporation, PLC","77.26","33847849987.08","n/a","Ireland","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/etn",
"EDAP","EDAP TMS S.A.","2.35","67509897.6","n/a","France","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/edap",
"ENDP","Endo International plc","5.48","1223904553.56","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/endp",
"E","ENI S.p.A.","38.12","69267572389.8","n/a","Italy","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","5.43","2377111837.17","n/a","United Kingdom","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/esv",
"ERIC","Ericsson","6.26","20575148230.18","n/a","Sweden","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/eric",
"ERYP","Erytech Pharma S.A.","20.92","375253232.2","n/a","France","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/eryp",
"EURN","Euronav NV","8.6","1360232192.4","n/a","Belgium","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/eurn",
"ESEA","Euroseas Ltd.","2.14","23912051.84","n/a","Greece","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/esea",
"GSM","Ferroglobe PLC","11.3","1942998060.3","n/a","United Kingdom","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gsm",
"FCAU","Fiat Chrysler Automobiles N.V.","23.41","45626826408.37","n/a","United Kingdom","2014","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/fcau",
"FLY","Fly Leasing Limited","13.34","373299249.68","n/a","Ireland","2007","n/a","n/a","https://www.nasdaq.com/symbol/fly",
"FWP","Forward Pharma A/S","2.18","102861117.82","n/a","Denmark","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fwp",
"FMS","Fresenius Medical Care Corporation","50.86","31172200704.28","n/a","Germany","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/fms",
"GLPG","Galapagos NV","101.07","5178317609.34","n/a","Belgium","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/glpg",
"GRMN","Garmin Ltd.","59.03","11108821344.54","n/a","Switzerland","2000","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/grmn",
"GSK","GlaxoSmithKline PLC","40.58","100615403516.9","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/gsk",
"GBLI","Global Indemnity Limited","38.81","550329797.43","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/gbli",
"GBLIL","Global Indemnity Limited","25.7","0","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/gblil",
"GBLIZ","Global Indemnity Limited","25.86","0","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/gbliz",
"GSL","Global Ship Lease, Inc.","1.15","63268043.5","n/a","United Kingdom","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/gsl",
"GSL^B","Global Ship Lease, Inc.","24.5809","0","n/a","United Kingdom","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gsl^b",
"GLBS","Globus Maritime Limited","0.7413","23731953.7371","n/a","Greece","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/glbs",
"GRFS","Grifols, S.A.","20.91","14286906002.82","n/a","Spain","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/grfs",
"GWPH","GW Pharmaceuticals Plc","123.95","3495848119.2","n/a","United Kingdom","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/gwph",
"HZNP","Horizon Pharma plc","13.7","2260164719.9","n/a","Ireland","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/hznp",
"HSBC","HSBC Holdings plc","49.13","197428481155.49","n/a","United Kingdom","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hsbc",
"HSBC^A","HSBC Holdings plc","25.73","0","n/a","United Kingdom","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hsbc^a",
"HSEA","HSBC Holdings plc","26.26","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hsea",
"HSEB","HSBC Holdings plc","26.25","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hseb",
