"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"TGP^A","Teekay LNG Partners L.P.","24.48","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tgp^a",
"TGP^B","Teekay LNG Partners L.P.","23.18","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/tgp^b",
"TOO","Teekay Offshore Partners L.P.","2.6","1066117546","n/a","Bermuda","2006","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/too",
"TOO^A","Teekay Offshore Partners L.P.","22.17","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/too^a",
"TOO^B","Teekay Offshore Partners L.P.","23.874","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/too^b",
"TOO^E","Teekay Offshore Partners L.P.","24.71","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/too^e",
"TNK","Teekay Tankers Ltd.","1.15","321468334.3","n/a","Bermuda","2007","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/tnk",
"TGH","Textainer Group Holdings Limited","17.15","979252120.35","n/a","Bermuda","2007","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/tgh",
"TBPH","Theravance Biopharma, Inc.","22.56","1236227381.28","n/a","Cayman Islands","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/tbph",
"TIL","Till Capital Ltd.","4.1","13492624.4","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/til",
"VR","Validus Holdings, Ltd.","67.5","5354709390","n/a","Bermuda","2007","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/vr",
"VR^A","Validus Holdings, Ltd.","25.26","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vr^a",
"VR^B","Validus Holdings, Ltd.","25.12","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vr^b",
